,wd_loss,wg_loss
0,-1.9741230010986328,22.729385375976562
1,-23.95258140563965,28.021408081054688
2,-28.780502319335938,26.77480125427246
3,-31.6959228515625,25.32946014404297
4,-27.588424682617188,23.771333694458008
5,-26.795570373535156,24.52359390258789
6,-36.23872756958008,28.46408462524414
7,-33.668853759765625,25.9561710357666
8,-32.413230895996094,21.956050872802734
9,-30.798173904418945,18.819902420043945
10,-23.56897735595703,11.242256164550781
11,-24.012535095214844,9.877366065979004
12,-21.476318359375,5.6140899658203125
13,-20.429248809814453,5.00771427154541
14,-19.77021598815918,1.7122139930725098
15,-17.14277458190918,-0.26347509026527405
16,-16.327369689941406,-3.15224027633667
17,-15.914710998535156,0.6289438605308533
18,-15.470375061035156,-2.9490153789520264
19,-15.229803085327148,-4.605253219604492
20,-13.466383934020996,-3.5074517726898193
21,-13.044002532958984,-4.0133562088012695
22,-12.500587463378906,-5.3971710205078125
23,-12.018756866455078,-7.2461161613464355
24,-11.373556137084961,-3.0936455726623535
25,-10.459465026855469,-4.279604434967041
26,-10.782811164855957,-3.2207608222961426
27,-9.790213584899902,-3.1258506774902344
28,-9.444279670715332,-4.66941499710083
29,-10.011618614196777,-1.8727149963378906
30,-9.248281478881836,-6.250319480895996
31,-9.100018501281738,-3.8885698318481445
32,-8.227516174316406,-7.472305774688721
33,-8.313637733459473,-4.645175457000732
34,-8.114572525024414,-3.0717642307281494
35,-7.915468692779541,-5.714369773864746
36,-7.545754432678223,-2.180548667907715
37,-7.719137668609619,-2.5072121620178223
38,-7.134039878845215,-5.506234169006348
39,-7.002106666564941,-6.6431884765625
40,-6.9456281661987305,-5.413577079772949
41,-6.883346080780029,-4.457968711853027
42,-6.860464572906494,-3.895005702972412
43,-5.645084381103516,-6.477452278137207
44,-5.950860500335693,-5.104297161102295
45,-5.845803737640381,-5.97625207901001
46,-6.069096088409424,-6.6233415603637695
47,-5.901442050933838,-5.365536689758301
48,-5.850584983825684,-7.010395050048828
49,-5.260275363922119,-5.609851360321045
50,-5.611014366149902,-4.3313446044921875
51,-5.925008296966553,-4.717136859893799
52,-5.086135387420654,-4.903796195983887
53,-5.007606506347656,-6.919319152832031
54,-4.480957984924316,-6.140409469604492
55,-4.886185646057129,-5.347128868103027
56,-5.049919128417969,-5.530367851257324
57,-4.629003047943115,-5.114459037780762
58,-4.883397579193115,-6.485018730163574
59,-4.753761291503906,-5.09836483001709
60,-4.575467586517334,-5.484980583190918
61,-4.313899517059326,-6.424880027770996
62,-4.461574077606201,-6.6413092613220215
63,-4.472622871398926,-6.866499423980713
64,-4.381892204284668,-5.65390682220459
65,-4.395774841308594,-5.929660797119141
66,-4.156306743621826,-6.51870059967041
67,-3.9181878566741943,-7.294861793518066
68,-3.8466882705688477,-9.11279296875
69,-3.8036608695983887,-9.058273315429688
70,-3.8387649059295654,-5.915236473083496
71,-4.254065990447998,-6.624972343444824
72,-3.9278619289398193,-6.900136470794678
73,-3.5324931144714355,-5.570257186889648
74,-4.300466537475586,-4.413152694702148
75,-4.437646389007568,-6.867237091064453
76,-3.7292373180389404,-8.661148071289062
77,-3.939260482788086,-7.2407121658325195
78,-3.678720712661743,-6.3246049880981445
